"Generation","Fitness","Vision","Collision Distance","Min Separation","Max Align Turn","Max Cohere Turn","Max Separate Turn","Move Distance","Tracking Range","Default Turn"
"Generation","Fitness","Vision","Collision Distance","Min Separation","Max Align Turn","Max Cohere Turn","Max Separate Turn","Move Distance","Tracking Range","Default Turn"
0,1.3750000000000002,11,7,6,11,9,26,2,12,1
0,0,1,7,0,7,0,28,4,9,1
0,0,8,6,4,3,4,16,0,0,1
0,0,13,6,4,2,10,3,6,7,1
0,3.3965555555555556,0,3,0,14,1,23,7,15,1
0,0.45,13,5,0,6,9,15,2,15,0
0,0,4,6,4,1,9,0,6,8,0
0,0.19999999999999998,10,2,0,11,1,8,0,9,0
0,0.375,0,1,0,8,11,17,6,15,0
0,0.025,0,7,1,10,15,22,1,8,1
0,0,0,5,2,4,8,6,3,5,1
0,0,8,3,5,10,4,20,5,7,0
0,0,6,4,5,11,4,24,0,0,1
0,0,0,4,1,3,2,8,0,1,0
0,2.347888888888889,10,0,7,10,13,28,0,14,0
0,0,10,4,5,0,5,24,0,6,1
0,0.025,13,4,7,8,14,7,2,10,1
0,0,0,0,2,10,15,7,3,1,0
0,0,11,3,7,3,3,1,3,2,0
0,0,9,5,5,0,4,18,6,11,0
0,0,0,3,0,0,15,15,5,11,0
0,1.9,0,6,7,15,13,22,2,9,1
0,0.07500000000000001,12,0,0,13,9,23,7,10,1
0,0,7,3,0,7,0,26,4,8,0
0,0,15,0,6,3,14,23,0,9,0
0,0,13,0,3,8,9,29,7,10,0
0,3.499444444444444,11,1,3,15,0,14,2,12,0
0,0,10,2,4,3,14,1,1,6,0
0,0,9,1,1,12,10,8,5,9,0
0,0,5,2,3,1,9,11,3,2,0
0,0,6,4,0,5,5,27,3,2,1
0,0,6,2,4,15,15,27,4,2,1
0,0,4,2,0,0,8,24,3,9,0
0,0,7,0,2,6,13,12,0,4,1
0,0,9,0,2,9,12,31,7,9,1
0,0,6,1,2,6,6,20,3,2,0
0,0.025,10,2,5,9,1,29,7,11,0
0,0,5,0,5,13,3,11,1,2,0
0,0,3,4,0,0,11,18,2,2,1
0,0,13,1,3,5,15,3,0,2,0
0,0,12,1,4,8,3,17,3,5,0
0,0,8,0,2,13,7,21,3,3,0
0,0,10,7,4,8,10,14,2,8,0
0,0,14,6,7,11,1,1,4,1,1
0,0.475,4,7,2,6,5,20,1,15,0
0,0,14,7,2,14,12,9,5,1,1
0,0,11,3,6,11,8,7,0,1,0
0,0,8,4,7,3,7,15,4,3,0
0,0,8,3,0,14,2,22,0,3,0
0,0,15,5,7,11,8,5,7,2,1
1,2.326,5,2,0,11,1,8,0,12,0
1,1.5749999999999997,7,1,0,15,0,1,2,14,0
1,0,7,3,0,6,5,24,6,8,0
1,3.149111111111111,4,7,1,14,1,20,7,15,1
1,2.1635555555555555,0,4,1,9,5,11,2,15,0
1,0,4,7,2,6,15,22,6,8,1
1,0.325,10,0,7,13,13,18,1,9,1
1,2.4841111111111114,0,6,7,15,13,28,0,14,0
1,0,0,4,3,2,14,26,2,12,1
1,0,11,4,6,8,1,23,7,8,1
1,0.07500000000000001,1,7,0,7,15,31,7,15,1
1,0.05,3,3,0,13,6,23,4,9,1
1,0.25000000000000006,1,7,0,7,4,17,6,15,0
1,0,0,1,0,8,0,3,4,9,1
1,0.1,13,1,0,8,11,13,6,15,0
1,0.525,0,1,0,12,1,8,0,9,0
1,0,1,0,7,10,13,28,0,1,0
1,0,10,7,0,4,0,28,4,10,1
1,0,15,3,0,13,9,8,7,5,1
1,0,12,0,0,1,1,16,7,15,1
1,0,5,0,7,7,0,28,3,6,1
1,0,6,7,0,10,13,28,0,1,0
1,0,13,5,0,6,14,0,2,12,1
1,0,3,0,0,2,14,8,7,10,0
1,1.6,13,0,7,10,10,28,0,13,0
1,0.325,10,5,0,6,10,31,2,15,0
1,0,0,7,0,0,0,28,4,9,1
1,0,1,4,6,10,15,22,1,7,1
1,0,11,6,3,8,15,28,7,9,1
1,0,1,7,0,7,0,14,2,3,0
1,0.32500000000000007,1,7,0,7,3,31,4,15,1
1,0.05,0,3,0,13,1,27,7,9,1
1,0.325,1,7,7,7,3,28,2,12,1
1,0,12,7,6,11,9,26,7,9,1
1,0.425,10,6,0,6,9,15,2,15,0
1,0,13,2,3,4,1,7,0,9,0
1,0,0,7,1,5,15,26,2,8,1
1,1.4749999999999999,11,7,6,11,9,29,2,12,1
1,0,0,3,0,13,1,20,7,0,1
1,0.27499999999999997,4,7,2,6,10,19,2,15,0
1,2.8680000000000003,8,3,0,14,1,24,4,15,1
1,0,0,3,0,14,1,20,4,7,1
1,0,0,7,2,6,5,8,1,3,0
1,2.615111111111111,8,1,3,11,0,14,1,12,0
1,3.053888888888889,0,7,0,14,1,23,7,15,1
1,0.05,10,0,7,5,13,28,0,13,0
1,0.05,0,6,7,15,13,14,6,9,1
1,2.2956666666666665,10,0,7,10,13,28,0,14,0
1,2.9786666666666664,11,2,3,15,0,14,2,12,0
1,0,13,5,0,6,14,15,2,12,0
2,0,1,7,0,0,0,13,1,12,0
2,0,8,1,7,11,4,17,6,0,0
2,0,2,7,0,7,8,17,0,9,0
2,0.625,0,1,7,12,6,23,5,12,0
2,0.25,11,1,3,8,7,23,7,15,1
2,3.050888888888889,0,7,0,14,1,14,2,12,0
2,0,0,7,1,1,10,19,2,15,0
2,2.543555555555556,7,1,0,15,0,30,2,14,0
2,0.025,10,0,3,5,13,31,0,14,0
2,0,10,0,7,10,13,19,0,1,0
2,0.30000000000000004,11,7,6,8,9,29,3,14,0
2,0,13,0,7,5,13,28,2,4,1
2,2.4377777777777774,10,0,7,13,2,23,7,15,1
2,1.825,7,0,7,14,1,18,1,9,1
2,2.404888888888889,3,4,0,14,1,7,7,15,1
2,2.947222222222222,8,0,7,14,6,23,7,15,1
2,2.6857777777777776,5,2,3,11,1,12,0,13,0
2,0,13,3,7,10,2,4,0,8,0
2,0.1,5,0,7,13,13,13,6,10,0
2,1.875,7,4,1,9,5,12,2,15,1
2,0,2,0,7,6,13,6,2,9,0
2,2.0785555555555555,7,1,0,12,0,28,0,13,0
2,0,7,7,1,13,6,20,7,7,1
2,2.840666666666667,0,7,7,14,1,23,7,15,1
2,1,7,1,0,15,15,31,7,12,1
2,0,1,7,0,7,0,1,2,14,0
2,0.4,7,7,2,6,1,27,1,14,1
2,0,2,0,7,13,2,2,7,12,1
2,0,11,2,3,11,0,17,6,3,0
2,0,11,1,3,12,0,1,2,3,0
2,2.7591111111111113,4,4,1,14,10,19,0,13,0
2,0.45000000000000007,14,0,7,10,1,19,7,15,1
2,2.125,8,3,0,14,9,23,4,15,1
2,3.0653333333333332,4,7,2,14,14,24,4,15,1
2,0,7,4,0,14,1,8,7,8,1
2,2.7656666666666667,4,7,1,14,1,27,7,15,1
2,0.175,11,7,6,8,9,29,2,12,1
2,2.9452222222222226,15,4,0,13,1,23,4,15,1
2,0.25,0,7,0,9,1,23,7,15,1
2,0,8,1,3,4,7,14,1,15,0
2,0.7,7,4,0,9,1,24,4,15,1
2,2.5412222222222223,7,6,0,15,13,31,7,14,0
2,2.9753333333333334,8,3,0,14,1,24,3,15,1
2,3.3107777777777776,0,7,0,14,1,20,7,15,1
2,0.325,11,2,3,8,0,17,2,12,0
2,3.4315555555555557,4,7,1,14,2,11,4,15,1
2,0,3,0,0,1,2,23,7,15,1
2,0,4,7,1,14,1,20,7,0,1
2,0,8,2,3,4,0,14,1,11,0
2,0.45,12,7,0,14,1,23,7,12,1
3,2.760888888888889,4,0,1,14,1,19,7,15,1
3,0.025,7,0,7,13,1,18,6,9,1
3,2.4744444444444444,15,7,0,9,1,20,0,15,1
3,0,0,3,0,2,14,23,4,15,1
3,0,7,2,0,15,15,0,7,12,0
3,0,7,5,0,0,7,18,5,1,1
3,2.5284444444444447,15,4,0,13,2,19,7,15,1
3,2.999777777777778,9,0,7,13,1,23,3,15,1
3,2.7775555555555553,12,0,7,13,1,23,4,15,1
3,0.4,10,7,0,14,1,20,7,12,1
3,2.7937777777777777,4,4,1,13,10,19,0,13,0
3,2.9753333333333334,10,2,3,11,1,12,0,13,0
3,0,3,7,1,1,14,27,7,15,1
3,2.6758888888888888,12,3,0,14,14,24,3,15,1
3,0,0,7,0,14,1,1,2,4,0
3,2.3636666666666666,3,7,0,14,1,17,2,12,0
3,2.691888888888889,15,7,4,14,14,14,0,13,0
3,2.7476666666666665,4,3,1,14,10,28,2,12,0
3,0,12,4,0,12,15,3,7,0,1
3,0.25,7,2,7,14,14,8,7,12,1
3,3.1261111111111113,0,7,1,14,5,28,0,13,0
3,0.17500000000000002,7,1,0,12,0,4,7,15,1
3,0,7,7,7,14,14,0,7,10,0
3,2.3249999999999997,8,6,0,15,1,23,7,15,1
3,0,11,0,3,14,1,27,3,0,1
3,0,8,3,7,14,1,24,3,0,1
3,2.5,5,1,0,14,1,20,7,15,1
3,0.675,0,0,3,8,1,12,0,13,0
3,2.525888888888889,8,0,0,14,14,20,7,15,1
3,2.1257777777777775,0,7,7,13,6,23,7,15,1
3,2.886333333333333,4,7,1,14,1,11,4,15,1
3,3.607222222222222,2,0,7,14,2,23,4,15,1
3,0.975,7,1,0,12,0,28,0,9,1
3,2.4855555555555555,7,3,7,14,14,18,1,13,0
3,0,4,4,0,2,1,23,4,15,1
3,2.7591111111111113,15,7,2,14,14,24,4,15,1
3,0,4,7,1,1,2,11,4,0,1
3,2.4844444444444447,8,0,4,9,1,23,0,15,1
3,0,4,0,2,14,10,31,4,0,1
3,2.842111111111111,7,7,1,13,14,20,3,15,1
3,0,4,0,1,14,2,27,0,0,1
3,0,4,7,6,1,13,11,4,15,1
3,2.824222222222222,8,3,0,14,1,24,3,15,1
3,2.275,8,7,7,14,6,23,7,15,1
3,2.807111111111111,0,7,0,14,2,14,2,12,0
3,2.792666666666667,4,7,1,14,2,11,4,15,1
3,0,4,7,2,1,14,24,4,15,1
3,0,15,7,0,14,1,14,2,3,0
3,2.652444444444445,0,7,0,14,1,20,7,15,1
3,2.932444444444444,7,4,1,10,10,19,0,13,0
4,3.0745555555555555,4,4,2,14,5,20,4,12,1
4,2.506555555555556,9,0,7,13,2,23,3,12,1
4,3.0393333333333334,2,0,7,13,2,23,4,15,1
4,0,2,0,7,14,2,31,4,0,1
4,0,3,4,1,1,5,18,1,13,0
4,2.3184444444444448,4,3,7,9,14,28,0,13,0
4,2.175,2,7,7,13,2,19,7,15,1
4,3.3655555555555554,15,0,7,14,2,8,4,15,1
4,2.820555555555555,4,7,1,14,1,11,4,15,1
4,0.47500000000000003,11,7,1,9,1,11,4,15,1
4,0.07500000000000001,4,4,1,14,14,24,4,8,1
4,2.5376666666666665,15,7,2,14,10,28,1,15,0
4,0.025,2,0,0,9,1,23,4,8,1
4,0,13,0,7,14,13,23,7,7,1
4,3.1777777777777776,10,2,4,14,2,12,4,15,1
4,2.974666666666667,4,4,1,11,2,12,0,13,0
4,0,2,0,0,13,13,23,4,0,1
4,2.494111111111111,15,0,6,14,14,24,4,15,1
4,1.5750000000000002,0,7,0,14,5,14,5,12,1
4,2.656,8,3,7,13,1,3,4,15,0
4,2.8201111111111112,2,0,7,14,1,23,4,15,1
4,2.671111111111111,4,3,1,13,1,19,0,12,1
4,2.743777777777778,15,0,7,14,1,23,0,15,1
4,0,8,7,1,1,5,28,0,9,0
4,3.1524444444444444,10,2,3,13,1,23,4,15,1
4,2.7083333333333335,12,0,4,11,1,12,0,13,0
4,2.7362222222222226,7,7,1,14,6,28,0,13,0
4,0.32499999999999996,3,4,1,5,10,19,0,14,0
4,2.401222222222222,12,3,7,14,6,12,0,13,0
4,0,10,2,3,11,14,24,3,8,1
4,0,4,7,1,14,1,23,3,0,1
4,0,9,0,7,14,1,4,4,0,1
4,0,15,7,0,14,14,1,4,0,1
4,2.609777777777778,1,7,0,14,2,23,4,13,0
4,0.4,4,0,1,14,2,11,4,10,0
4,2.923111111111111,3,4,2,13,10,20,3,15,1
4,0,9,0,7,10,1,23,3,8,1
4,0.05,11,7,1,9,1,11,7,12,1
4,2.35,0,7,2,14,10,28,0,10,0
4,2.9435555555555557,2,0,7,14,5,23,4,12,1
4,2.676444444444445,2,0,7,14,13,8,4,15,1
4,0,0,7,0,14,1,23,0,0,1
4,0,13,0,7,2,1,23,3,15,1
4,3.2514444444444446,2,3,7,14,2,20,4,15,1
4,0.025,0,7,1,2,5,28,0,13,0
4,2.5393333333333334,15,3,0,14,1,27,3,15,1
4,3.082,0,7,1,14,5,28,0,13,0
4,0,7,0,7,14,2,13,2,3,0
4,2.573888888888889,10,5,3,11,5,12,0,13,0
4,2.25,0,7,1,9,5,28,0,13,0
5,0.4,2,3,7,14,1,11,4,10,0
5,3.0855555555555556,4,0,1,14,2,20,4,15,1
5,3.405222222222222,13,4,7,14,2,20,4,15,1
5,0.6749999999999999,5,0,7,9,13,20,4,15,1
5,0.75,13,4,7,13,1,3,4,12,0
5,3.172222222222222,7,2,4,14,2,12,3,15,1
5,2.461777777777778,11,4,1,11,2,12,4,15,1
5,2.5592222222222225,10,2,4,14,2,12,0,9,0
5,2.8216666666666663,2,0,7,14,2,19,0,10,0
5,0.025,0,7,1,14,5,16,4,7,1
5,0.725,0,7,7,9,13,12,4,15,1
5,2.3488888888888892,10,2,1,14,5,28,0,13,0
5,0.07500000000000001,8,4,0,13,1,3,4,11,1
5,0,2,0,4,14,5,20,4,0,0
5,0.8250000000000001,2,7,1,9,1,20,4,15,1
5,3.039333333333333,7,4,7,13,2,23,4,15,1
5,0,4,7,7,2,1,3,4,15,0
5,2.42,8,3,1,14,5,12,4,12,1
5,3.456666666666666,2,3,7,14,2,23,3,15,1
5,0.9500000000000001,3,7,2,13,13,20,3,11,1
5,0,15,0,7,6,2,8,4,10,0
5,2.1767777777777777,0,7,5,14,10,3,0,15,1
5,0,4,3,1,14,5,20,0,2,0
5,0.35000000000000003,4,3,2,12,14,11,4,12,1
5,2.1294444444444443,15,0,0,14,2,8,4,15,1
5,2.481555555555556,12,0,0,14,2,11,3,15,1
5,2.677777777777778,3,4,2,14,5,8,4,15,1
5,2.688888888888889,0,0,7,14,10,16,3,15,1
5,0,10,2,7,1,2,8,4,15,1
5,2.3923333333333336,15,7,4,14,2,3,4,12,1
